WKT,Business Name,Industry Category,Corridor,Latitude,Longitude,Google Maps Link
"POINT (77.0862363 11.0620438)",CIRCUIT POINT,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0620438,77.0862363,https://www.google.com/maps/place/CIRCUIT+POINT/data=!4m7!3m6!1s0x3ba857e16785fc41:0x69243b688a2c590c!8m2!3d11.0620438!4d77.0862363!16s%2Fg%2F11vbbssvyj!19sChIJQfyFZ-FXqDsRDFksimg7JGk?authuser=0&hl=en&rclk=1
"POINT (77.0575847 11.0490475)",Pinnacle Power Systems,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0490475,77.0575847,https://www.google.com/maps/place/Pinnacle+Power+Systems/data=!4m7!3m6!1s0x3ba8f9eef37a4891:0xbdd7d8485a82cfac!8m2!3d11.0490475!4d77.0575847!16s%2Fg%2F11jmjz5684!19sChIJkUh68-75qDsRrM-CWkjY170?authuser=0&hl=en&rclk=1
"POINT (77.0209284 11.035059)",Ceezet Electronics Pvt Ltd,Electronics,Avinashi Road – Arasur Industrial Corridor,11.035059,77.0209284,https://www.google.com/maps/place/Ceezet+Electronics+Pvt+Ltd/data=!4m7!3m6!1s0x3ba8576e3e667499:0x420db397efb69258!8m2!3d11.035059!4d77.0209284!16s%2Fg%2F11lh559_gn!19sChIJmXRmPm5XqDsRWJK275ezDUI?authuser=0&hl=en&rclk=1
"POINT (77.0380248 11.0440288)",Avanzada printed Technology Pvt Ltd,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0440288,77.0380248,https://www.google.com/maps/place/Avanzada+printed+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3ba8578bf8a1abf3:0x68dad25f0abbec72!8m2!3d11.0440288!4d77.0380248!16s%2Fg%2F11hn95x8fz!19sChIJ86uh-ItXqDsRcuy7Cl_S2mg?authuser=0&hl=en&rclk=1
"POINT (77.1287895 11.0891408)",Abirami Electronics Pvt Ltd - Unit-2,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0891408,77.1287895,https://www.google.com/maps/place/Abirami+Electronics+Pvt+Ltd+-+Unit-2/data=!4m7!3m6!1s0x3ba8ff000b3a7401:0xdf4dc05e71404821!8m2!3d11.0891408!4d77.1287895!16s%2Fg%2F11yj35d30y!19sChIJAXQ6CwD_qDsRIUhAcV7ATd8?authuser=0&hl=en&rclk=1
"POINT (77.0812181 11.0645222)",Eskay Industries and Electronics,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0645222,77.0812181,https://www.google.com/maps/place/Eskay+Industries+and+Electronics/data=!4m7!3m6!1s0x3ba858ff8b9f15fd:0xa207963c4e3dd835!8m2!3d11.0645222!4d77.0812181!16s%2Fg%2F11fnw156dj!19sChIJ_RWfi_9YqDsRNdg9TjyWB6I?authuser=0&hl=en&rclk=1
"POINT (77.0874599 11.0608605)",M.S Transformers India Pvt.Ltd., ( Tech Power Electronics Group ),Electronics,Avinashi Road – Arasur Industrial Corridor,11.0608605,77.0874599,https://www.google.com/maps/place/M.S+Transformers+India+Pvt.Ltd.,+%28+Tech+Power+Electronics+Group+%29/data=!4m7!3m6!1s0x3ba857a80bbe9803:0xfb29baed4875db1!8m2!3d11.0608605!4d77.0874599!16s%2Fg%2F1hd_bc37s!19sChIJA5i-C6hXqDsRsV2H1K6bsg8?authuser=0&hl=en&rclk=1
"POINT (77.034938 11.0439447)",B J Electronics Private Limited,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0439447,77.034938,https://www.google.com/maps/place/B+J+Electronics+Private+Limited/data=!4m7!3m6!1s0x3ba858526b5c0591:0x4cbb2a02d7eff5d9!8m2!3d11.0439447!4d77.034938!16s%2Fg%2F1tcwpl0p!19sChIJkQVca1JYqDsR2fXv1wIqu0w?authuser=0&hl=en&rclk=1
"POINT (77.0467517 11.044453)",Universal circuits, PCB manufacturing,Electronics,Avinashi Road – Arasur Industrial Corridor,11.044453,77.0467517,https://www.google.com/maps/place/Universal+circuits,+PCB+manufacturing/data=!4m7!3m6!1s0x3ba857c8cf494b23:0x5def765977cc7332!8m2!3d11.044453!4d77.0467517!16s%2Fg%2F1pp2tk_1w!19sChIJI0tJz8hXqDsRMnPMd1l2710?authuser=0&hl=en&rclk=1
"POINT (77.03726 11.0493299)",Silicon Technologies,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0493299,77.03726,https://www.google.com/maps/place/Silicon+Technologies/data=!4m7!3m6!1s0x3ba857bf696364b7:0x1b1aaf59d3694eac!8m2!3d11.0493299!4d77.03726!16s%2Fg%2F11cncn0938!19sChIJt2Rjab9XqDsRrE5p01mvGhs?authuser=0&hl=en&rclk=1
"POINT (77.0897128 11.0571592)",SG PNEUMATICS PVT LTD,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0571592,77.0897128,https://www.google.com/maps/place/SG+PNEUMATICS+PVT+LTD/data=!4m7!3m6!1s0x3ba8570a08e7c001:0x61f6ab85598fb189!8m2!3d11.0571592!4d77.0897128!16s%2Fg%2F11s4h8s9ph!19sChIJAcDnCApXqDsRibGPWYWr9mE?authuser=0&hl=en&rclk=1
"POINT (77.085584 11.0750442)",Aviotion,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0750442,77.085584,https://www.google.com/maps/place/Aviotion/data=!4m7!3m6!1s0x3ba857b35881a6b7:0x4feb6674e6e7da46!8m2!3d11.0750442!4d77.085584!16s%2Fg%2F11rhwf86kq!19sChIJt6aBWLNXqDsRRtrn5nRm608?authuser=0&hl=en&rclk=1
"POINT (77.0641946 11.0790117)",Adriel Engineering,Electronics,Avinashi Road – Arasur Industrial Corridor,11.0790117,77.0641946,https://www.google.com/maps/place/Adriel+Engineering/data=!4m7!3m6!1s0x3ba8f9b6b2ff389b:0x81ef3f9694a8930a!8m2!3d11.0790117!4d77.0641946!16s%2Fg%2F11h64rk8ff!19sChIJmzj_srb5qDsRCpOolJY_74E?authuser=0&hl=en&rclk=1
