WKT,Business Name,Business Type,Corridor,Latitude,Longitude,Google Maps Link,Industrial Sector
"POINT (77.1880493 11.0394374)",Andreas Stihl PVT LTD Regional Warehouse[Coimbatore],Warehouse,Sulur – Palladam Industrial Corridor,11.0394374,77.1880493,https://www.google.com/maps/place/Andreas+Stihl+PVT+LTD+Regional+Warehouse%5BCoimbatore%5D/data=!4m7!3m6!1s0x3ba855001bb6d8af:0xa2c429ffb349f9f1!8m2!3d11.0394374!4d77.1880493!16s%2Fg%2F11wmtwly9z!19sChIJr9i2GwBVqDsR8flJs_8pxKI?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2895375 10.994444)",S.k.m,Warehouse,Sulur – Palladam Industrial Corridor,10.994444,77.2895375,https://www.google.com/maps/place/S.k.m/data=!4m7!3m6!1s0x3ba9a9f8151596e5:0xf6543923fcb93beb!8m2!3d10.994444!4d77.2895375!16s%2Fg%2F11q9m7t6wt!19sChIJ5ZYVFfipqTsR6zu5_CM5VPY?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1563854 10.9784654)",TMS Warehouse,Warehouse,Sulur – Palladam Industrial Corridor,10.9784654,77.1563854,https://www.google.com/maps/place/TMS+Warehouse/data=!4m7!3m6!1s0x3ba855963632d913:0xf188423445f006a9!8m2!3d10.9784654!4d77.1563854!16s%2Fg%2F11s_stmhy8!19sChIJE9kyNpZVqDsRqQbwRTRCiPE?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.238005 10.976767)",E-Star Foods Warehouse 1,Warehouse,Sulur – Palladam Industrial Corridor,10.976767,77.238005,https://www.google.com/maps/place/E-Star+Foods+Warehouse+1/data=!4m7!3m6!1s0x3ba9ad822b6c6a83:0xa434cbefc437e51a!8m2!3d10.976767!4d77.238005!16s%2Fg%2F11thjz3lcg!19sChIJg2psK4KtqTsRGuU3xO_LNKQ?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2834784 11.002015)",Kathiravan hardwares godown,Warehouse,Sulur – Palladam Industrial Corridor,11.002015,77.2834784,https://www.google.com/maps/place/Kathiravan+hardwares+godown/data=!4m7!3m6!1s0x3ba9ab45bc55bd9d:0xe3473e7817c5aa12!8m2!3d11.002015!4d77.2834784!16s%2Fg%2F11hz31d1s2!19sChIJnb1VvEWrqTsREqrFF3g-R-M?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2838546 10.9955386)",THE RAMCO CEMENTS LTD,Warehouse,Sulur – Palladam Industrial Corridor,10.9955386,77.2838546,https://www.google.com/maps/place/THE+RAMCO+CEMENTS+LTD/data=!4m7!3m6!1s0x3ba9abff0224957f:0x963b806433a7b74d!8m2!3d10.9955386!4d77.2838546!16s%2Fg%2F11p0z7srvv!19sChIJf5UkAv-rqTsRTbenM2SAO5Y?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2645022 10.9999658)",Senthil Godown,Warehouse,Sulur – Palladam Industrial Corridor,10.9999658,77.2645022,https://www.google.com/maps/place/Senthil+Godown/data=!4m7!3m6!1s0x3ba9ab003b0cad5d:0xbe598c1f97893cad!8m2!3d10.9999658!4d77.2645022!16s%2Fg%2F11xrx663cs!19sChIJXa0MOwCrqTsRrTyJlx-MWb4?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2048181 10.9707575)",SHIVA TEXYARN LIMITED-WAREHOUSE,Warehouse,Sulur – Palladam Industrial Corridor,10.9707575,77.2048181,https://www.google.com/maps/place/SHIVA+TEXYARN+LIMITED-WAREHOUSE/data=!4m7!3m6!1s0x3ba9ad002426f16f:0xdbc12521ed145de2!8m2!3d10.9707575!4d77.2048181!16s%2Fg%2F11vy_81k58!19sChIJb_EmJACtqTsR4l0U7SElwds?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1702761 10.9638406)",PIDILITE Coimbatore warehouse LNP Logistic Park,Warehouse,Sulur – Palladam Industrial Corridor,10.9638406,77.1702761,https://www.google.com/maps/place/PIDILITE+Coimbatore+warehouse+LNP+Logistic+Park/data=!4m7!3m6!1s0x3ba853ed81277cf5:0xa471e49f9450290!8m2!3d10.9638406!4d77.1702761!16s%2Fg%2F11t1qchpsv!19sChIJ9Xwnge1TqDsRkAJF-UkeRwo?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2326583 10.9748574)",Varun Beverages.Ltd PepsiCo's New Warehouse,Warehouse,Sulur – Palladam Industrial Corridor,10.9748574,77.2326583,https://www.google.com/maps/place/Varun+Beverages.Ltd+PepsiCo%27s+New+Warehouse/data=!4m7!3m6!1s0x3ba9ad1b6dbf2cd3:0xd7cbeac8d6f8502b!8m2!3d10.9748574!4d77.2326583!16s%2Fg%2F11qq07sqgx!19sChIJ0yy_bRutqTsRK1D41sjqy9c?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2656681 10.9940877)",Sri Shayam Sulzer,Warehouse,Sulur – Palladam Industrial Corridor,10.9940877,77.2656681,https://www.google.com/maps/place/Sri+Shayam+Sulzer/data=!4m7!3m6!1s0x3ba9ab1e19621f1f:0xb864d4a08f948ae6!8m2!3d10.9940877!4d77.2656681!16s%2Fg%2F11scf5k5t1!19sChIJHx9iGR6rqTsR5oqUj6DUZLg?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.212101 10.975322)",KAVIN WAREHOUSE,Warehouse,Sulur – Palladam Industrial Corridor,10.975322,77.212101,https://www.google.com/maps/place/KAVIN+WAREHOUSE/data=!4m7!3m6!1s0x3ba9aca14dfbd1d5:0x15022fa4bc00ef98!8m2!3d10.975322!4d77.212101!16s%2Fg%2F11g6rnp8wz!19sChIJ1dH7TaGsqTsRmO8AvKQvAhU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2370437 10.9767923)",Bannari amman warehouse,Warehouse,Sulur – Palladam Industrial Corridor,10.9767923,77.2370437,https://www.google.com/maps/place/Bannari+amman+warehouse/data=!4m7!3m6!1s0x3ba9ade79e0c8f19:0xff3f680867d0e08e!8m2!3d10.9767923!4d77.2370437!16s%2Fg%2F11sndb983y!19sChIJGY8MnuetqTsRjuDQZwhoP_8?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1888088 11.0140333)",VSN POLYMERS AND CHEMICALS COIMBATORE,Warehouse,Sulur – Palladam Industrial Corridor,11.0140333,77.1888088,https://www.google.com/maps/place/VSN+POLYMERS+AND+CHEMICALS+COIMBATORE/data=!4m7!3m6!1s0x3ba85519d1269893:0x61fe8fab45d2fdbb!8m2!3d11.0140333!4d77.1888088!16s%2Fg%2F11t165wknn!19sChIJk5gm0RlVqDsRu_3SRauP_mE?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1976321 11.0108062)",DALMIA KARANAMPETTAI GUDOWN,Warehouse,Sulur – Palladam Industrial Corridor,11.0108062,77.1976321,https://www.google.com/maps/place/DALMIA+KARANAMPETTAI+GUDOWN/data=!4m7!3m6!1s0x3ba9ab0033861209:0x653a5b51158e928f!8m2!3d11.0108062!4d77.1976321!16s%2Fg%2F11yshjhzhj!19sChIJCRKGMwCrqTsRj5KOFVFbOmU?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.1697769 10.9463704)",Jupiter Kart Warehouse (Pollachi),Warehouse,Sulur – Palladam Industrial Corridor,10.9463704,77.1697769,https://www.google.com/maps/place/Jupiter+Kart+Warehouse+%28Pollachi%29/data=!4m7!3m6!1s0x3ba8370041e1efdf:0x1338f2c22931d3bc!8m2!3d10.9463704!4d77.1697769!16s%2Fg%2F11wtqskf2z!19sChIJ3-_hQQA3qDsRvNMxKcLyOBM?authuser=0&hl=en&rclk=1,Warehousing / Storage
"POINT (77.2117732 11.041062)",KM Trade Link Warehouse,Corporate office,Sulur – Palladam Industrial Corridor,11.041062,77.2117732,https://www.google.com/maps/place/KM+Trade+Link+Warehouse/data=!4m7!3m6!1s0x3ba9ab32b57f436d:0x7b3a6b9ce2b8ae84!8m2!3d11.041062!4d77.2117732!16s%2Fg%2F11fd0qt_1k!19sChIJbUN_tTKrqTsRhK644pxrOns?authuser=0&hl=en&rclk=1,Retail / Non-industrial
