WKT,Name,Latitude,Longitude,Google Maps Link,Category
"POINT (76.9679066 10.9911229)",Chinna Kulam,10.9911229,76.9679066,https://www.google.com/maps/place/Chinna+Kulam/data=!4m7!3m6!1s0x3ba8599f6e5b9ef1:0x5c193aab080d17bb!8m2!3d10.9911229!4d76.9679066!16s%2Fg%2F1tfldpb8!19sChIJ8Z5bbp9ZqDsRuxcNCKs6GVw?authuser=0&hl=en&rclk=1,Lake
"POINT (76.9628658 10.9653145)",Kurichi Kulam,10.9653145,76.9628658,https://www.google.com/maps/place/Kurichi+Kulam/data=!4m7!3m6!1s0x3ba85bd4d001e0c1:0x520fd1b2795e07e8!8m2!3d10.9653145!4d76.9628658!16s%2Fg%2F1tf149fv!19sChIJweAB0NRbqDsR6AdeebLRD1I?authuser=0&hl=en&rclk=1,Lake
"POINT (77.0338868 11.1331021)",SS kulam kmch,11.1331021,77.0338868,https://www.google.com/maps/place/SS+kulam+kmch/data=!4m7!3m6!1s0x3ba8f9dc3ac3750f:0x2142bed3d8dac44c!8m2!3d11.1331021!4d77.0338868!16s%2Fg%2F11k4nghk3l!19sChIJD3XDOtz5qDsRTMTa2NO-QiE?authuser=0&hl=en&rclk=1,Flower market
"POINT (76.9434208 11.002512)",Kumaraswamy Lake,11.002512,76.9434208,https://www.google.com/maps/place/Kumaraswamy+Lake/data=!4m7!3m6!1s0x3ba85918380bcf9b:0xeaed6d757dd9cd8a!8m2!3d11.002512!4d76.9434208!16s%2Fg%2F1w6r6qcj!19sChIJm88LOBhZqDsRis3ZfXVt7eo?authuser=0&hl=en&rclk=1,Lake
"POINT (76.954224 10.9815383)",Periya Kulam,10.9815383,76.954224,https://www.google.com/maps/place/Periya+Kulam/data=!4m7!3m6!1s0x3ba85971d12fc77b:0x3e1418d0f2a1e4c1!8m2!3d10.9815383!4d76.954224!16s%2Fg%2F1tk89kjb!19sChIJe8cv0XFZqDsRweSh8tAYFD4?authuser=0&hl=en&rclk=1,Lake
"POINT (77.029456 11.138922)",S.S. Kulam,11.138922,77.029456,https://www.google.com/maps/place/S.S.+Kulam/data=!4m7!3m6!1s0x3ba8f9f273e03229:0xa5aa3b279aed507c!8m2!3d11.138922!4d77.029456!16s%2Fg%2F11dzs_my_x!19sChIJKTLgc_L5qDsRfFDtmic7qqU?authuser=0&hl=en&rclk=1,Bus stop
"POINT (77.2649405 11.1861457)",Thamarai Kulam,11.1861457,77.2649405,https://www.google.com/maps/place/Thamarai+Kulam/data=!4m7!3m6!1s0x3ba903be21a895db:0x935714ee537dca92!8m2!3d11.1861457!4d77.2649405!16s%2Fg%2F1tfxwg7x!19sChIJ25WoIb4DqTsRksp9U-4UV5M?authuser=0&hl=en&rclk=1,Pond
"POINT (77.2619389 11.1880185)",Thamarai kulam,11.1880185,77.2619389,https://www.google.com/maps/place/Thamarai+kulam/data=!4m7!3m6!1s0x3ba90329d43c3ab1:0xa92a8fd3c05fc634!8m2!3d11.1880185!4d77.2619389!16s%2Fg%2F11q3mtbvct!19sChIJsTo81CkDqTsRNMZfwNOPKqk?authuser=0&hl=en&rclk=1,Fishing pond
"POINT (77.2154415 11.0837026)",Pallapalayam kulam,11.0837026,77.2154415,https://www.google.com/maps/place/Pallapalayam+kulam/data=!4m7!3m6!1s0x3ba901f9614a7515:0x3039c58e6760ce95!8m2!3d11.0837026!4d77.2154415!16s%2Fg%2F11pdw9hyxg!19sChIJFXVKYfkBqTsRlc5gZ47FOTA?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (76.9354979 11.1177584)",Kousika River Starting Point,11.1177584,76.9354979,https://www.google.com/maps/place/Kousika+River+Starting+Point/data=!4m7!3m6!1s0x3ba8f421f3fd2e89:0xfa32fb939e69e7c7!8m2!3d11.1177584!4d76.9354979!16s%2Fg%2F11c6skwzl8!19sChIJiS798yH0qDsRx-dpnpP7Mvo?authuser=0&hl=en&rclk=1,River port
"POINT (77.1270134 11.0465987)",Lotus leaf river farms,11.0465987,77.1270134,https://www.google.com/maps/place/Lotus+leaf+river+farms/data=!4m7!3m6!1s0x3ba8550041a6e449:0x2cde6e4be96ca271!8m2!3d11.0465987!4d77.1270134!16s%2Fg%2F11n3ygq1h2!19sChIJSeSmQQBVqDsRcaJs6Utu3iw?authuser=0&hl=en&rclk=1,Housing society
"POINT (76.9537232 11.0318834)",Sanganur Stream,11.0318834,76.9537232,https://www.google.com/maps/place/Sanganur+Stream/data=!4m7!3m6!1s0x3ba8575941097dc7:0x1ac927c80932f369!8m2!3d11.0318834!4d76.9537232!16s%2Fg%2F11bbrhywnw!19sChIJx30JQVlXqDsRafMyCcgnyRo?authuser=0&hl=en&rclk=1,River
"POINT (77.1295927 11.2306003)",Periya kulam kku,11.2306003,77.1295927,https://www.google.com/maps/place/Periya+kulam+kku/data=!4m7!3m6!1s0x3ba8fd001f0cb98f:0xd79b2961229b7681!8m2!3d11.2306003!4d77.1295927!16s%2Fg%2F11vk5ycy37!19sChIJj7kMHwD9qDsRgXabImEpm9c?authuser=0&hl=en&rclk=1,River port
"POINT (77.022744 10.989053)",Singanallur Lake,10.989053,77.022744,https://www.google.com/maps/place/Singanallur+Lake/data=!4m7!3m6!1s0x3ba857435a3bae09:0xf75fe071d5f76e2e!8m2!3d10.989053!4d77.022744!16s%2Fm%2F0bmdc89!19sChIJCa47WkNXqDsRLm731XHgX_c?authuser=0&hl=en&rclk=1,Lake
"POINT (77.0783913 10.9906991)",Pallapalayam Lake,10.9906991,77.0783913,https://www.google.com/maps/place/Pallapalayam+Lake/data=!4m7!3m6!1s0x3ba856c0cdea05ff:0x86b4747b242b8220!8m2!3d10.9906991!4d77.0783913!16s%2Fg%2F12hz35_p5!19sChIJ_wXqzcBWqDsRIIIrJHt0tIY?authuser=0&hl=en&rclk=1,Seasonal lake
